path	file_bytes	eocd_off	cd_off	cd_size	entries	comment_len	zip64	fast_path	prefixed	tail_pad
test-data/ooxml/docx/table-indent.docx	7639	7617	6346	1271	15	0	0	1	0	0
test-data/ooxml/docx/documentProtection_forms_no_password.docx	9924	9902	9197	705	11	0	0	1	0	0
test-data/ooxml/docx/table-alignment.docx	15519	15497	14048	1449	17	0	0	1	0	0
test-data/ooxml/docx/documentProtection_readonly_no_password.docx	9856	9834	9129	705	11	0	0	1	0	0
test-data/ooxml/docx/FancyFoot.docx	12876	12854	11960	894	14	0	0	1	0	0
test-data/ooxml/docx/Headers.docx	13076	13054	12036	1018	16	0	0	1	0	0
test-data/ooxml/docx/documentProtection_no_protection.docx	9884	9862	9157	705	11	0	0	1	0	0
test-data/ooxml/docx/documentProtection_comments_no_password.docx	9868	9846	9141	705	11	0	0	1	0	0
test-data/ooxml/docx/ComplexNumberedLists.docx	14458	14436	13595	841	13	0	0	1	0	0
test-data/ooxml/docx/endnotes.docx	13553	13531	12488	1043	16	0	0	1	0	0
test-data/ooxml/docx/headerFooter.docx	28423	28401	27255	1146	18	0	0	1	0	0
test-data/ooxml/docx/table_footnotes.docx	13177	13155	12112	1043	16	0	0	1	0	0
test-data/ooxml/docx/documentProperties.docx	23503	23481	22707	774	12	0	0	1	0	0
test-data/ooxml/docx/footnotes.docx	12823	12801	11758	1043	16	0	0	1	0	0
test-data/ooxml/docx/headerPic.docx	16206	16184	15149	1035	16	0	0	1	0	0
test-data/ooxml/xlsb/hyperlink.xlsb	7882	7860	7063	797	12	0	0	1	0	0
test-data/ooxml/xlsb/sample.xlsb	10843	10821	9253	1568	22	0	0	1	0	0
test-data/ooxml/xlsb/comments.xlsb	10796	10774	9388	1386	20	0	0	1	0	0
test-data/ooxml/xlsb/bug66682.xlsb	9580	9558	8467	1091	16	0	0	1	0	0
test-data/ooxml/xlsb/51519.xlsb	10897	10875	9624	1251	18	0	0	1	0	0
test-data/ooxml/xlsb/universal-content.xlsb	11087	11065	9710	1355	20	0	0	1	0	0
test-data/ooxml/xlsb/date.xlsb	7566	7544	6813	731	11	0	0	1	0	0
test-data/ooxml/xlsb/pivot-cache-ac-prefixed.xlsb	11002	10980	9530	1450	20	0	0	1	0	0
test-data/ooxml/xlsb/Simple.xlsb	9161	9139	7888	1251	18	0	0	1	0	0
test-data/ooxml/xlsb/62815.xlsb	10665	10643	9850	793	12	0	0	1	0	0
test-data/ooxml/xlsb/cond_format.xlsb	8253	8231	7415	816	12	0	0	1	0	0
test-data/odf/odp/tdf102223.odp	17335	17313	16174	1139	17	0	0	1	0	0
test-data/odf/odp/text-in-image.odp	13584	13562	12404	1158	17	0	0	1	0	0
test-data/odf/odp/tdf105502.odp	11629	11607	10468	1139	17	0	0	1	0	0
test-data/odf/odp/cellspan.odp	13489	13467	12317	1150	17	0	0	1	0	0
test-data/odf/odp/tdf169979.odp	12568	12546	12052	494	8	0	0	1	0	0
test-data/odf/corpus/writer-header-footer.odt	7177	7155	6149	1006	15	0	0	1	0	0
test-data/odf/corpus/impress-embedded-spreadsheet.odp	16403	16381	14442	1939	27	0	0	1	0	0
test-data/odf/corpus/writer-paragraph-styles.odt	7194	7172	6142	1030	15	0	0	1	0	0
test-data/odf/corpus/writer-user-fields.odt	19410	19388	18312	1076	16	0	0	1	0	0
test-data/odf/corpus/impress-basic.odp	14940	14918	13997	921	14	0	0	1	0	0
test-data/odf/corpus/calc-formulas.ods	6837	6815	5809	1006	15	0	0	1	0	0
test-data/odf/corpus/calc-two-sheets.ods	10344	10322	9197	1125	17	0	0	1	0	0
test-data/odf/corpus/writer-definition-lists.odt	7824	7802	6796	1006	15	0	0	1	0	0
test-data/odf/corpus/calc-cell-styles.ods	10382	10360	9235	1125	17	0	0	1	0	0
test-data/odf/corpus/calc-unicode-chinese.ods	11765	11743	10607	1136	17	0	0	1	0	0
test-data/odf/corpus/writer-table-of-contents.odt	44598	44576	43440	1136	17	0	0	1	0	0
test-data/odf/corpus/impress-master-layouts.odp	18026	18004	16928	1076	16	0	0	1	0	0
test-data/odf/corpus/writer-table.odt	7055	7033	6027	1006	15	0	0	1	0	0
test-data/odf/corpus/writer-images-frames.odt	16975	16953	15492	1461	20	0	0	1	0	0
test-data/odf/corpus/writer-minimal-nasty.odt	1539	1517	1205	312	5	0	0	1	0	0
test-data/odf/odt/shape-text-in-paragraph.odt	9046	9024	7899	1125	17	0	0	1	0	0
test-data/odf/odt/table-cell-column-span.odt	9254	9232	8107	1125	17	0	0	1	0	0
test-data/odf/odc-producer-evidence/odfdom-created.odc	2352	2330	2043	287	5	0	0	1	0	0
test-data/odf/odc-producer-evidence/odfdom-resaved.odc	2361	2339	2052	287	5	0	0	1	0	0
test-data/odf/ods/grid-padding-package.ods	9967	9945	8867	1078	16	0	0	1	0	0
test-data/office-interop/litchi-changed/date-autofilter-litchi.xlsx	6604	6582	5942	640	10	0	0	1	0	0
test-data/office-interop/litchi-changed/shapes-litchi.pptx	61466	61444	57760	3684	48	0	0	1	0	0
test-data/office-interop/litchi-changed/tdf132924-litchi.odb	2897	2875	2572	303	5	0	0	1	0	0
test-data/office-interop/litchi-changed/document-properties-litchi.docx	11143	11121	10347	774	12	0	0	1	0	0
test-data/iwork/pages/body-table-name-visible-native.pages	114134	114112	110756	3356	43	0	0	1	0	0
test-data/iwork/pages/body-table-hidden-axes-cleared-native.pages	112687	112665	109317	3348	43	0	0	1	0	0
test-data/iwork/pages/basic.pages	96417	96395	95483	912	13	0	0	1	0	0
test-data/iwork/pages/body-table-visible.pages	112719	112697	109349	3348	43	0	0	1	0	0
test-data/iwork/pages/image-adjustments-native-resaved.pages	399587	399565	398344	1221	17	0	0	1	0	0
test-data/iwork/pages/chart-arrangement-native.pages	118207	118185	117202	983	14	0	0	1	0	0
test-data/iwork/pages/body-table-cells-native.pages	138984	138962	133200	5762	73	0	0	1	0	0
test-data/iwork/pages/body-sections-unicode.pages	94897	94875	93963	912	13	0	0	1	0	0
test-data/iwork/pages/body-table-catalog-native.pages	128566	128544	122790	5754	73	0	0	1	0	0
test-data/iwork/pages/chart-data-native.pages	117747	117725	116734	991	14	0	0	1	0	0
test-data/iwork/pages/source-built-table-stylesheet-before.pages	7704	7682	7104	578	8	0	0	1	0	0
test-data/iwork/pages/image-adjustments-retirement-resaved.pages	400294	400272	399051	1221	17	0	0	1	0	0
test-data/iwork/pages/body-table-hidden-axes-focused-native.pages	108936	108914	105558	3356	43	0	0	1	0	0
test-data/iwork/pages/body-table-merges-native.pages	139093	139071	133317	5754	73	0	0	1	0	0
test-data/iwork/pages/chart-grid-authored-native.pages	66763	66741	65845	896	13	0	0	1	0	0
test-data/iwork/pages/image-adjustments-native.pages	398961	398939	397726	1213	17	0	0	1	0	0
test-data/iwork/pages/body-table-name-focused-native-saved.pages	115608	115586	112238	3348	43	0	0	1	0	0
test-data/iwork/pages/body-table-hidden-axes-native.pages	108938	108916	105560	3356	43	0	0	1	0	0
test-data/iwork/pages/source-built-hidden-axes-legacy.pages	8549	8527	7949	578	8	0	0	1	0	0
test-data/iwork/pages/body-table-name-focused.pages	81275	81253	78078	3175	40	0	0	1	0	0
test-data/iwork/pages/body-table-comment-hidden-native-saved.pages	109330	109308	105952	3356	43	0	0	1	0	0
test-data/iwork/pages/audio-playback-native.pages	103222	103200	102224	976	14	0	0	1	0	0
test-data/iwork/pages/audio-playback-native-resaved.pages	104010	103988	103004	984	14	0	0	1	0	0
test-data/iwork/pages/chart-arrangement-retirement-resaved.pages	119482	119460	118469	991	14	0	0	1	0	0
test-data/iwork/pages/image-adjustments-direct-resaved.pages	400205	400183	398962	1221	17	0	0	1	0	0
test-data/iwork/pages/body-table-cross-reference-native.pages	139820	139798	134036	5762	73	0	0	1	0	0
test-data/iwork/pages/chart-grid-replaced-native.pages	67748	67726	66830	896	13	0	0	1	0	0
test-data/iwork/pages/source-built-hidden-axes-before.pages	8368	8346	7768	578	8	0	0	1	0	0
test-data/iwork/pages/source-built-table-stylesheet-native-saved.pages	37712	37690	34462	3228	43	0	0	1	0	0
test-data/iwork/pages/chart-data-edited-native.pages	118445	118423	117440	983	14	0	0	1	0	0
test-data/iwork/pages/body-table-read-native.pages	139146	139124	133370	5754	73	0	0	1	0	0
test-data/office-interop/libreoffice-resaved/shapes-litchi.pptx	53239	53217	49664	3553	46	0	0	1	0	0
test-data/office-interop/libreoffice-resaved/tdf132924-litchi.odb	3198	3176	2705	471	8	0	0	1	0	0
test-data/office-interop/libreoffice-resaved/document-properties-litchi.docx	6825	6803	6099	704	11	0	0	1	0	0
test-data/ooxml/pptx/activex/activex_checkbox.pptx	39828	39806	35893	3913	51	0	0	1	0	0
test-data/iwork/numbers/cell-value-native.numbers	125316	125294	122001	3293	43	0	0	1	0	0
test-data/iwork/numbers/custom-text-native.numbers	137384	137362	134061	3301	43	0	0	1	0	0
test-data/iwork/numbers/audio-playback-native.numbers	146459	146437	143072	3365	44	0	0	1	0	0
test-data/iwork/numbers/custom-text-native-unicode.numbers	136917	136895	133587	3308	43	0	0	1	0	0
test-data/iwork/numbers/custom-retirement-resaved.numbers	137073	137051	133750	3301	43	0	0	1	0	0
test-data/office-interop/libreoffice-resaved/date-autofilter-litchi.xlsx	7311	7289	6433	856	13	0	0	1	0	0
test-data/iwork/numbers/table-relocation-native-resaved.numbers	427012	426990	421012	5978	77	0	0	1	0	0
test-data/iwork/numbers/comment-reader-native-created.numbers	136175	136153	132852	3301	43	0	0	1	0	0
test-data/iwork/numbers/table-data-list-native.numbers	134196	134174	130888	3286	43	0	0	1	0	0
test-data/iwork/numbers/chart-grid-replaced-native.numbers	61042	61020	57780	3240	43	0	0	1	0	0
test-data/iwork/numbers/chart-grid-authored-native.numbers	60618	60596	57356	3240	43	0	0	1	0	0
test-data/iwork/numbers/image-adjustments-native-resaved.numbers	408848	408826	405217	3609	47	0	0	1	0	0
test-data/iwork/numbers/custom-retirement-cleared.numbers	136435	136413	133105	3308	43	0	0	1	0	0
test-data/iwork/numbers/shared-model-native.numbers	105105	105083	101797	3286	43	0	0	1	0	0
test-data/iwork/numbers/custom-number-native-resaved.numbers	136808	136786	133478	3308	43	0	0	1	0	0
test-data/iwork/numbers/table-merges-native.numbers	136130	136108	132815	3293	43	0	0	1	0	0
test-data/iwork/numbers/duration-native-resaved.numbers	136757	136735	133427	3308	43	0	0	1	0	0
test-data/iwork/numbers/chart-arrangement-retirement-resaved.numbers	128604	128582	125203	3379	44	0	0	1	0	0
test-data/iwork/numbers/basic.numbers	136357	136335	133034	3301	43	0	0	1	0	0
test-data/iwork/numbers/audio-playback-native-resaved.numbers	146555	146533	143168	3365	44	0	0	1	0	0
test-data/iwork/numbers/image-adjustments-native.numbers	406626	406604	403002	3602	47	0	0	1	0	0
test-data/iwork/numbers/chart-data-edited-native.numbers	62570	62548	59308	3240	43	0	0	1	0	0
test-data/iwork/numbers/chart-arrangement-native.numbers	128644	128622	125250	3372	44	0	0	1	0	0
test-data/iwork/numbers/custom-datetime-native.numbers	136983	136961	133660	3301	43	0	0	1	0	0
test-data/iwork/numbers/image-adjustments-retirement-resaved.numbers	407012	406990	403381	3609	47	0	0	1	0	0
test-data/iwork/numbers/formula-envelope-native.numbers	104582	104560	101274	3286	43	0	0	1	0	0
test-data/iwork/numbers/comment-metadata-native-resaved.numbers	28973	28951	25711	3240	43	0	0	1	0	0
test-data/iwork/numbers/custom-number-native.numbers	136401	136379	133078	3301	43	0	0	1	0	0
test-data/iwork/numbers/custom-text-native-resaved.numbers	137237	137215	133907	3308	43	0	0	1	0	0
test-data/iwork/numbers/table-relocation-native.numbers	415992	415970	409985	5985	77	0	0	1	0	0
test-data/iwork/numbers/custom-datetime-native-resaved.numbers	137684	137662	134354	3308	43	0	0	1	0	0
test-data/iwork/numbers/chart-data-native.numbers	127968	127946	124567	3379	44	0	0	1	0	0
