fixture	key	class	before	after
libreoffice-core/sc/qa/unit/data/xlsx/tdf111980_radioButtons.xlsx	xlsx.sheet.0.view.0.retained_xml	c-markup-canonical-same	len=99;sha=f0e40ea5cdda6bd237e71f17d70143760206e4047d7edf8b9c1366f2f9e6e6ea	len=243;sha=08fce0d77c6bba515ceabb1ea5a7145096dd7719e881a9237bb61179dd045cf7
libreoffice-core/sc/qa/unit/data/xlsx/tdf120168.xlsx	xlsx.sheet.0.view.0.retained_xml	c-markup-canonical-same	len=1144;sha=09e661727cb647a1b85156e50f9e22648b5713e5e6b1987d4f2cf4fceee4ac43	len=626;sha=02b0eb8e2cab4851598b6dedc4e1c0f3646907173742bda7fe929726aca3f9ca
libreoffice-core/sc/qa/unit/data/xlsx/tdf134455.xlsx	xlsx.sheet.0.view.0.retained_xml	c-markup-canonical-same	len=396;sha=ba0569da64cf059cd16c12487201406f0c33857d702a376653973bed271f3cc8	len=540;sha=a2f4a4a850b2781c3332cc848b82dde0633eb31e02be4da139f790fa365e9f93
libreoffice-core/sc/qa/unit/data/xlsx/tdf134459_HeaderFooterColor.xlsx	xlsx.sheet.0.view.0.retained_xml	c-markup-canonical-same	len=598;sha=958b96368156045695cd19f3ff553987a059a8fe6d2d8b6da1964ff9e9ba23ff	len=598;sha=df8d447207d7429b097c859f1a6c38c3d0f43d2bc6f53d1f8cb5af566bf00b30
libreoffice-core/sc/qa/unit/data/xlsx/tdf136721_letter_sized_paper.xlsx	xlsx.sheet.0.view.0.retained_xml	c-markup-canonical-same	len=1144;sha=ed3a2d27d2fed79604da85080c8ce7969c5a9f20684a973468e684afe3f15de1	len=626;sha=defce87bbf8ff0c18363e3f9ce466a97aa02f4f975f031b7055e1fcc65cde7d6
libreoffice-core/sc/qa/unit/data/xlsx/tdf143068_top10filter.xlsx	xlsx.sheet.0.view.0.retained_xml	c-markup-canonical-same	len=576;sha=10a54e86239569709fd6d1ce9f8b24599bfdf4e8df00e370a59cb877c1d878ef	len=576;sha=0a17957e09acd0edc0b0e7bdcf67d153df29c944ac5145130bd9a5cf6aefd705
libreoffice-core/sc/qa/unit/data/xlsx/tdf66377.xlsx	xlsx.sheet.0.view.0.retained_xml	c-markup-canonical-same	len=1487;sha=84f37d444f56c5751235c50fd6c50a2619e5372d235fcb24a42a02becddab5f1	len=815;sha=767e1b83a435387be4f79d78aeaa0a6aae6a705689efc8bf51c30460fa23ce76
libreoffice-core/sc/qa/unit/data/xlsx/tdf97598_scenarios.xlsx	xlsx.sheet.0.view.0.retained_xml	c-markup-canonical-same	len=97;sha=eadc50613bf823c9f0b2d12c5bf7f19b23045a99097598c7f16df75940ba91d9	len=241;sha=c919da748b4d82545b0a783b191476e94f211fbac94e52df5b3354b6e0858f6d
libreoffice-core/sc/qa/unit/data/xlsx/tdf97598_scenarios.xlsx	xlsx.sheet.1.view.0.retained_xml	c-markup-canonical-same	len=31;sha=2ce5bb0b634fdca13b0db3fcb3ee00e2120a9b34ef23481a97ee953f9ae8b218	len=175;sha=5263b35822d5c4904cd865686d28851f085be9398a206dcdb76d6ae38d25e255
libreoffice-core/sc/qa/unit/data/xlsx/tdf97598_scenarios.xlsx	xlsx.sheet.2.view.0.retained_xml	c-markup-canonical-same	len=31;sha=2ce5bb0b634fdca13b0db3fcb3ee00e2120a9b34ef23481a97ee953f9ae8b218	len=175;sha=5263b35822d5c4904cd865686d28851f085be9398a206dcdb76d6ae38d25e255
libreoffice-core/sc/qa/unit/data/xlsx/textLengthDataValidity.xlsx	xlsx.sheet.0.view.0.retained_xml	c-markup-canonical-same	len=1131;sha=60cef42b8c87a6e2cef92e1a2fef4273c3937dd386dcdaacea906cc0d97da737	len=613;sha=ec8508124a546b397c10b1efd1267664cd4b6a116ba1fd1f9a581a213fd175a7
libreoffice-core/sc/qa/unit/data/xlsx/totalsRowShown.xlsx	xlsx.sheet.0.view.0.retained_xml	c-markup-canonical-same	len=1469;sha=39b361fa5e7b6a20628b1cefb871003ea8baa570d165f0e37a28099a6eac96be	len=797;sha=7490d08c4319a167b16601867ad5594661f693bd6bdbec8a39642d890d90a635
libreoffice-core/sc/qa/unit/data/xlsx/track-changes/simple-cell-changes.xlsx	xlsx.sheet.0.view.0.retained_xml	c-markup-canonical-same	len=702;sha=705560a781491120ce39317432d0b639864ad0fbbb11ba2ceda4f388d767536b	len=413;sha=eda3813bfb74d9b22f2287a42b04277a64009f176100dc2d92be4922bc54c984
libreoffice-core/sc/qa/unit/data/xlsx/track-changes/simple-cell-changes.xlsx	xlsx.sheet.1.view.0.retained_xml	c-markup-canonical-same	len=345;sha=d5d94b474e37c63c7b28399d596ebb9ce1f42d0a6576d494fd91c85065068359	len=345;sha=b8a4535b9e62749563b11c2f9ce85408eb498b18cbcd316f5a1dd62d4726b424
libreoffice-core/sc/qa/unit/data/xlsx/track-changes/simple-cell-changes.xlsx	xlsx.sheet.2.view.0.retained_xml	c-markup-canonical-same	len=345;sha=d5d94b474e37c63c7b28399d596ebb9ce1f42d0a6576d494fd91c85065068359	len=345;sha=b8a4535b9e62749563b11c2f9ce85408eb498b18cbcd316f5a1dd62d4726b424
libreoffice-core/sd/qa/unit/data/pptx/ole.pptx	pptx.sld.0.shp.0.xml	c-markup-canonical-same	len=4382;sha=1dc150a510a4e2c7178d02b5efd1ab870df51eee673f039ea76343886ea50f13	len=895;sha=cdb9cbdb1f8b7bb5f82deb86d2437cf5cd05c322d719c056d4301a44269ce70e
libreoffice-core/sd/qa/unit/data/pptx/ole.pptx	pptx.sld.0.shp.1.xml	c-markup-canonical-same	len=6494;sha=768b18832759919db11f1f7589dee0c8b24b0523f754281567d2d74a498ffcd9	len=797;sha=bc8b6efd5e5ea7579cfef8d2dcefb9fbce99c2e27c67d89cd2031459b3ca0dee
libreoffice-core/sd/qa/unit/data/pptx/slide-section-test.pptx	pptx.sld.0.shp.0.xml	c-markup-canonical-same	len=14401;sha=e58e0b5e0bc7417d2fd8770227f14ff93c2d1d7536ed810f669f4b7c4bce07c5	len=961;sha=617543e3f2c97c94bd54f3e3b00bf0c237823a84d47dcb4a35e985cd237c692b
libreoffice-core/sd/qa/unit/data/pptx/slide-section-test.pptx	pptx.sld.0.shp.1.xml	c-markup-canonical-same	len=12603;sha=16b182887588b6617e63e82411d13f95bcd8dc60500a42214c730b9a47d008e9	len=843;sha=79031ad86545bb52923e534d6d7333931b32ee7317cf5175bd79588e17783325
libreoffice-core/sd/qa/unit/data/pptx/slide-section-test.pptx	pptx.sld.1.shp.0.xml	c-markup-canonical-same	len=37939;sha=01780c9a41e64652d180b9683a234d7aa465a2cb55332cdc426428bbbcc7f948	len=2659;sha=20d54b1181497eabb239bc969471b63259d66866600e901185353b90e40c9ad7
libreoffice-core/sd/qa/unit/data/pptx/slide-section-test.pptx	pptx.sld.1.shp.1.xml	c-markup-canonical-same	len=18936;sha=96510b783fcb9a7987294fbfd9da964744f7bdd616232057c02b98c38cc72001	len=1296;sha=e5433898e18a75b41bd64c1e917cd2a05432805fbc6ea5afbb0b9df634cf1d3f
libreoffice-core/sd/qa/unit/data/pptx/slide-section-test.pptx	pptx.sld.1.shp.2.xml	c-markup-canonical-same	len=14042;sha=143a66cf2ef3a5c4a88b70990fd2921f0d4e4bdffcf34178d2119830f43927b0	len=1022;sha=917c5220127f3913ccb7403323ae67036f8c7e09af89f8408840374245b85d38
libreoffice-core/sd/qa/unit/data/pptx/slide-section-test.pptx	pptx.sld.1.shp.3.xml	c-markup-canonical-same	len=37932;sha=0c1eb1c88556620f099521b2890406ddb76a921cd44f91bed3c06e7dace28f37	len=2652;sha=68c6205c62b55885ad32d62ae8a00b777951c993d611925af6472f8fa544fe84
libreoffice-core/sd/qa/unit/data/pptx/slide-section-test.pptx	pptx.sld.1.shp.4.xml	c-markup-canonical-same	len=18937;sha=2e150e428a2c4609ed77c613876d21c882277b607cb1f9b899280a038102418b	len=1297;sha=0dd413b60ddc2c62926dbaed8e6e6bd962de3439e0e17b5e5c0af34a4ac673b2
libreoffice-core/sd/qa/unit/data/pptx/slide-section-test.pptx	pptx.sld.1.shp.5.xml	c-markup-canonical-same	len=14032;sha=f190d0dd83f2c3bfdfc4dee06ebe80d45577f5152a7e5faa610458829cb60780	len=1012;sha=11687e5f4a224f916c2a4bf0fa12fdabf93c348f1185b0693390ef1074dd2f77
libreoffice-core/sd/qa/unit/data/pptx/slide-section-test.pptx	pptx.sld.1.shp.6.xml	c-markup-canonical-same	len=37942;sha=ddc67ebef756767e1d5372d6d7984245a4407a08cbb953d49b1ce008442a8c5c	len=2662;sha=299742a287f8304035e1a3b7d2d343d1bbfa1244086485888daa54dec4f6685f
libreoffice-core/sd/qa/unit/data/pptx/slide-section-test.pptx	pptx.sld.1.shp.7.xml	c-markup-canonical-same	len=18937;sha=792d518dc9d35dd294af06a16dd39d909ddb16f850dc3924b2e857b7133c7077	len=1297;sha=143dc4b8b7b555db7ba71a5712eb4ecec0e75e368f11ed51adb8f825b2c66e26
libreoffice-core/sd/qa/unit/data/pptx/slide-section-test.pptx	pptx.sld.1.shp.8.xml	c-markup-canonical-same	len=14042;sha=dc162f8de535d90a77eb243907f2d571e4546e55249d1cd3a8e9737ed6a4a9f8	len=1022;sha=8848d3481c42098b78d569f8ed886400230e831e0adc52296319e9cfc5b8bb26
