container	before_requests	after_requests	before_bytes	after_bytes	before_versions	after_versions
test-data/libreoffice-core/sc/qa/unit/data/xlsx/track-changes/simple-cell-changes.xlsx	7	5	4290	4290	4	4
test-data/libreoffice-core/sd/qa/unit/data/BoldonseFontEmbedded.pptx	19	6	8897	8897	4	4
test-data/libreoffice-core/sd/qa/unit/data/odg/FitToFrameText.odg	3	3	1135	1135	4	4
test-data/libreoffice-core/sd/qa/unit/data/odp/ole_icon.odp	3	3	1473	1473	4	4
test-data/libreoffice-core/sd/qa/unit/data/pptx/ole.pptx	20	9	9557	9557	4	4
test-data/libreoffice-core/sd/qa/unit/data/pptx/slide-section-test.pptx	48	9	21758	20822	4	4
test-data/libreoffice-core/sd/qa/unit/data/pptx/slide-sections.pptx	27	10	15067	15067	4	4
test-data/libreoffice-core/sd/qa/unit/data/pptx/tdf103477.pptx	20	12	11092	11092	4	4
test-data/libreoffice-core/sd/qa/unit/data/pptx/tdf114821.pptx	20	7	9760	9760	4	4
test-data/libreoffice-core/sd/qa/unit/data/pptx/tdf89064.pptx	22	9	9319	9007	4	4
test-data/libreoffice-core/starmath/qa/extras/data/tdf151842.odf	3	3	1079	1079	4	4
test-data/libreoffice-core/svx/qa/unit/data/FontWork.odg	3	3	1135	1135	4	4
test-data/libreoffice-core/sw/qa/core/header_footer/data/first-header-footer.odt	3	3	1310	1310	4	4
test-data/libreoffice-core/sw/qa/core/objectpositioning/data/do-not-capture-draw-objs-on-page-draw-wrap-none.docx	8	6	4701	4701	4	4
test-data/libreoffice-core/sw/qa/extras/odfexport/data/Formcontrol	3	3	1292	1292	4	4
test-data/libreoffice-core/sw/qa/extras/odfexport/data/tdf121119.odm	3	3	1123	1123	4	4
test-data/libreoffice-core/sw/qa/extras/ooxmlexport/data/NumberedList.docx	8	6	4737	4737	4	4
test-data/libreoffice-core/sw/qa/extras/ooxmlexport/data/decimal-numbering-no-leveltext.docx	6	4	3326	3326	4	4
test-data/libreoffice-core/sw/qa/extras/ooxmlexport/data/listWithLgl.docx	6	5	1482	1482	4	4
test-data/libreoffice-core/sw/qa/extras/ooxmlexport/data/lvlPicBulletId.docx	9	7	5533	5533	4	4
test-data/libreoffice-core/sw/qa/extras/ooxmlexport/data/mailmerge.docx	7	5	4166	4166	4	4
test-data/libreoffice-core/sw/qa/extras/ooxmlexport/data/strict.docx	7	6	4634	4634	4	4
test-data/libreoffice-core/sw/qa/extras/ooxmlexport/data/tdf124384.docx	11	7	5702	5702	4	4
test-data/libreoffice-core/sw/qa/extras/ooxmlexport/data/testGlossary.docx	8	5	5127	5127	4	4
test-data/libreoffice-core/sw/qa/extras/ooxmlimport/data/numbering-circle.docx	6	6	1729	1729	4	4
test-data/libreoffice-core/sw/qa/extras/ooxmlimport/data/tdf108545_embeddedDocxIcon.docx	6	4	3919	3919	4	4
test-data/libreoffice-core/sw/qa/extras/ooxmlimport/data/tdf119039_bad_embedded_compound.docx	6	5	3271	3271	4	4
test-data/libreoffice-core/sw/qa/extras/uiwriter/data/autotext-multiple.dotx	7	5	3855	3855	4	4
test-data/libreoffice-core/sw/qa/uibase/shells/data/ole-save-preview-update.odt	3	3	1663	1663	4	4
test-data/libreoffice-core/sw/qa/writerfilter/dmapper/data/alt-chunk-header.docx	12	7	7412	7412	4	4
test-data/libreoffice-core/sw/qa/writerfilter/dmapper/data/alt-chunk-html.docx	6	6	1600	1600	4	4
test-data/libreoffice-core/sw/qa/writerfilter/dmapper/data/alt-chunk.docx	6	4	2653	2653	4	4
test-data/libreoffice-core/sw/qa/writerfilter/dmapper/data/layout-in-cell-2.docx	8	7	4831	4831	4	4
test-data/libreoffice-core/sw/qa/writerfilter/dmapper/data/redline-range-comment.docx	6	5	3552	3552	4	4
