run	leg	profile	case	parts	p50_ns	p95_ns	p99_ns	mean_ns	sample_count	source_read_calls	source_read_bytes	source_version_calls	source_payload_read_calls	source_payload_read_bytes	source_max_in_flight_reads	lookup_count	output_sha256	report_sha256
probe	B2	normal	opc_casefold_source_open	256	306641	315691	321232	308175.066667	30	9	19449	4	0	0	1	0	68bfa39a97c9d837c91a8667892bd3c0230d295c5327a84f7520b8ab02cd08b9	64da3ebd4d1d78fff37110e25e0c966d58afe0fa39dc7045e34167e8fe07146b
probe	B2	normal	opc_casefold_eager_lookup	256	35435	36730	41600	35738.833333	30	-	-	-	-	-	-	144	6a02c72a84e45623f8150e12608dfb3189b6bb903ffd0bce8e31ee897d14ae1f	64da3ebd4d1d78fff37110e25e0c966d58afe0fa39dc7045e34167e8fe07146b
probe	B2	normal	opc_casefold_source_lookup	256	28385	33670	35340	28776.466667	30	0	0	144	0	0	0	144	6a02c72a84e45623f8150e12608dfb3189b6bb903ffd0bce8e31ee897d14ae1f	64da3ebd4d1d78fff37110e25e0c966d58afe0fa39dc7045e34167e8fe07146b
probe	B2	normal	opc_casefold_eager_open	2048	3451801	3498346	3526956	3452610.266667	30	-	-	-	-	-	-	0	3449d32aa6d80e9cc12fbb1da1e6f5855177af1524250efda687b1ee99391298	64da3ebd4d1d78fff37110e25e0c966d58afe0fa39dc7045e34167e8fe07146b
probe	B2	normal	opc_casefold_source_open	2048	2471892	2489642	2501432	2472899.533333	30	11	150265	4	0	0	1	0	3449d32aa6d80e9cc12fbb1da1e6f5855177af1524250efda687b1ee99391298	64da3ebd4d1d78fff37110e25e0c966d58afe0fa39dc7045e34167e8fe07146b
probe	B2	normal	opc_casefold_eager_lookup	2048	267731	273142	273161	269137.933333	30	-	-	-	-	-	-	144	3d124a528436b1e924dcbbd7d23040d5c258e0acf8e278113c17e447f017936a	64da3ebd4d1d78fff37110e25e0c966d58afe0fa39dc7045e34167e8fe07146b
probe	B2	normal	opc_casefold_source_lookup	2048	36510	36621	41440	36678.8	30	0	0	144	0	0	0	144	3d124a528436b1e924dcbbd7d23040d5c258e0acf8e278113c17e447f017936a	64da3ebd4d1d78fff37110e25e0c966d58afe0fa39dc7045e34167e8fe07146b
probe	B2	normal	opc_casefold_eager_open	16384	32017118	33648396	34049398	32133487.266667	30	-	-	-	-	-	-	0	86fd877006855b5dd7ee889c0f6ec00c20645ec243d628ae77080d7a416e8cdd	64da3ebd4d1d78fff37110e25e0c966d58afe0fa39dc7045e34167e8fe07146b
probe	B2	normal	opc_casefold_source_open	16384	24303222	24991105	24992295	24312973.133333	30	27	1196793	4	0	0	1	0	86fd877006855b5dd7ee889c0f6ec00c20645ec243d628ae77080d7a416e8cdd	64da3ebd4d1d78fff37110e25e0c966d58afe0fa39dc7045e34167e8fe07146b
probe	B2	normal	opc_casefold_eager_lookup	16384	885324	892274	892394	885745.433333	30	-	-	-	-	-	-	144	d9b4239f722a2b243ab4f2e0d1208b8a145aa22b02e615adc2819c5cedb843fb	64da3ebd4d1d78fff37110e25e0c966d58afe0fa39dc7045e34167e8fe07146b
probe	B2	normal	opc_casefold_source_lookup	16384	47225	47400	55900	47501.566667	30	0	0	144	0	0	0	144	d9b4239f722a2b243ab4f2e0d1208b8a145aa22b02e615adc2819c5cedb843fb	64da3ebd4d1d78fff37110e25e0c966d58afe0fa39dc7045e34167e8fe07146b
probe	B2	allocator	opc_casefold_eager_open	256	581252	583802	588102	579260.1	30	-	-	-	-	-	-	0	68bfa39a97c9d837c91a8667892bd3c0230d295c5327a84f7520b8ab02cd08b9	c080a9cafb9ec57e3dac51235226753330178e1c90a9134f306be2c1ba3b0db6
probe	B2	allocator	opc_casefold_source_open	256	415137	416672	417202	414934.8	30	9	19449	4	0	0	1	0	68bfa39a97c9d837c91a8667892bd3c0230d295c5327a84f7520b8ab02cd08b9	c080a9cafb9ec57e3dac51235226753330178e1c90a9134f306be2c1ba3b0db6
probe	B2	allocator	opc_casefold_eager_lookup	256	25435	26830	31260	25500.766667	30	-	-	-	-	-	-	144	6a02c72a84e45623f8150e12608dfb3189b6bb903ffd0bce8e31ee897d14ae1f	c080a9cafb9ec57e3dac51235226753330178e1c90a9134f306be2c1ba3b0db6
probe	B2	allocator	opc_casefold_source_lookup	256	28940	29140	35480	29159.833333	30	0	0	144	0	0	0	144	6a02c72a84e45623f8150e12608dfb3189b6bb903ffd0bce8e31ee897d14ae1f	c080a9cafb9ec57e3dac51235226753330178e1c90a9134f306be2c1ba3b0db6
probe	B2	allocator	opc_casefold_eager_open	2048	4639059	4671739	4711750	4642781.233333	30	-	-	-	-	-	-	0	3449d32aa6d80e9cc12fbb1da1e6f5855177af1524250efda687b1ee99391298	c080a9cafb9ec57e3dac51235226753330178e1c90a9134f306be2c1ba3b0db6
probe	B2	allocator	opc_casefold_source_open	2048	3367314	3386574	3415425	3370032.466667	30	11	150265	4	0	0	1	0	3449d32aa6d80e9cc12fbb1da1e6f5855177af1524250efda687b1ee99391298	c080a9cafb9ec57e3dac51235226753330178e1c90a9134f306be2c1ba3b0db6
probe	B2	allocator	opc_casefold_eager_lookup	2048	216861	225031	225821	218488.6	30	-	-	-	-	-	-	144	3d124a528436b1e924dcbbd7d23040d5c258e0acf8e278113c17e447f017936a	c080a9cafb9ec57e3dac51235226753330178e1c90a9134f306be2c1ba3b0db6
probe	B2	allocator	opc_casefold_source_lookup	2048	37880	40280	43370	38130.833333	30	0	0	144	0	0	0	144	3d124a528436b1e924dcbbd7d23040d5c258e0acf8e278113c17e447f017936a	c080a9cafb9ec57e3dac51235226753330178e1c90a9134f306be2c1ba3b0db6
probe	B2	allocator	opc_casefold_eager_open	16384	41634640	42731770	42846870	41818484.7	30	-	-	-	-	-	-	0	86fd877006855b5dd7ee889c0f6ec00c20645ec243d628ae77080d7a416e8cdd	c080a9cafb9ec57e3dac51235226753330178e1c90a9134f306be2c1ba3b0db6
probe	B2	allocator	opc_casefold_source_open	16384	30660294	31628953	32356447	30730635.8	30	27	1196793	4	0	0	1	0	86fd877006855b5dd7ee889c0f6ec00c20645ec243d628ae77080d7a416e8cdd	c080a9cafb9ec57e3dac51235226753330178e1c90a9134f306be2c1ba3b0db6
probe	B2	allocator	opc_casefold_eager_lookup	16384	2816416	2827192	2828112	2816039.533333	30	-	-	-	-	-	-	144	d9b4239f722a2b243ab4f2e0d1208b8a145aa22b02e615adc2819c5cedb843fb	c080a9cafb9ec57e3dac51235226753330178e1c90a9134f306be2c1ba3b0db6
probe	B2	allocator	opc_casefold_source_lookup	16384	47760	48090	50070	47850.533333	30	0	0	144	0	0	0	144	d9b4239f722a2b243ab4f2e0d1208b8a145aa22b02e615adc2819c5cedb843fb	c080a9cafb9ec57e3dac51235226753330178e1c90a9134f306be2c1ba3b0db6
probe	A2	normal	opc_casefold_eager_open	256	428832	439282	448702	430505.5	30	-	-	-	-	-	-	0	68bfa39a97c9d837c91a8667892bd3c0230d295c5327a84f7520b8ab02cd08b9	0132873251cfe967f05496aa95de215735a4467c1618595eac77cb9dbac1b079
probe	A2	normal	opc_casefold_source_open	256	308712	317641	328301	310152.466667	30	9	19449	4	0	0	1	0	68bfa39a97c9d837c91a8667892bd3c0230d295c5327a84f7520b8ab02cd08b9	0132873251cfe967f05496aa95de215735a4467c1618595eac77cb9dbac1b079
probe	A2	normal	opc_casefold_eager_lookup	256	29495	32881	35830	29771.133333	30	-	-	-	-	-	-	144	6a02c72a84e45623f8150e12608dfb3189b6bb903ffd0bce8e31ee897d14ae1f	0132873251cfe967f05496aa95de215735a4467c1618595eac77cb9dbac1b079
probe	A2	normal	opc_casefold_source_lookup	256	21270	21350	26990	21446.033333	30	0	0	144	0	0	0	144	6a02c72a84e45623f8150e12608dfb3189b6bb903ffd0bce8e31ee897d14ae1f	0132873251cfe967f05496aa95de215735a4467c1618595eac77cb9dbac1b079
probe	A2	normal	opc_casefold_eager_open	2048	3441715	3463785	3475065	3438818.266667	30	-	-	-	-	-	-	0	3449d32aa6d80e9cc12fbb1da1e6f5855177af1524250efda687b1ee99391298	0132873251cfe967f05496aa95de215735a4467c1618595eac77cb9dbac1b079
probe	A2	normal	opc_casefold_source_open	2048	2475281	2491161	2491501	2474144.766667	30	11	150265	4	0	0	1	0	3449d32aa6d80e9cc12fbb1da1e6f5855177af1524250efda687b1ee99391298	0132873251cfe967f05496aa95de215735a4467c1618595eac77cb9dbac1b079
probe	A2	normal	opc_casefold_eager_lookup	2048	227416	232811	235621	228797.333333	30	-	-	-	-	-	-	144	3d124a528436b1e924dcbbd7d23040d5c258e0acf8e278113c17e447f017936a	0132873251cfe967f05496aa95de215735a4467c1618595eac77cb9dbac1b079
