op,order,leg,rep,cycles,instructions,branch_misses,dtlb_load_misses,page_faults
eager_noprep_paragraph_count,3,base,2,606422,2259099,2979,-34,0
eager_noprep_paragraph_count,3,base,3,2425423,2257105,1442,390,-1
eager_noprep_paragraph_count,3,base,4,1010831,2104222,2391,163,2
eager_noprep_paragraph_count,3,base,5,-29209,2104730,3942,10,-1
eager_noprep_paragraph_count,3,base,6,874416,2171642,1959,84,3
eager_noprep_paragraph_count,3,base,7,720317,2027086,5258,152,-2
eager_noprep_paragraph_count,3,base,8,4423377,4454942,3523,-41,1
eager_noprep_paragraph_count,3,base,9,-1419841,896266,-4266,-328,-1
eager_noprep_paragraph_count,3,base,10,-1251111,1114031,444,-124,-2
eager_noprep_paragraph_count,3,base,11,204213,2159409,2682,-97,0
eager_noprep_paragraph_count,3,base,12,339299,2198048,-1488,-21,3
eager_noprep_paragraph_count,3,base,13,-90883,2113526,656,-5,-1
eager_noprep_paragraph_count,3,base,14,-316789,2073524,3223,294,1
eager_noprep_paragraph_count,3,base,15,-345668,2047099,1016,91,1
eager_noprep_paragraph_count,3,base,16,3577,2276506,-14771,163,-1
eager_noprep_paragraph_count,3,base,17,209029,2130562,386,0,0
eager_noprep_paragraph_count,3,base,18,382265,2264632,14316,98,2
eager_noprep_paragraph_count,3,base,19,1055240,2086425,18854,-306,-1
eager_noprep_paragraph_count,3,base,20,-1623965,2340393,936,1,0
eager_noprep_paragraph_count,3,base,21,563137,2230499,3126,371,-1
eager_noprep_paragraph_count,3,base,22,238501,2125717,1561,34,1
eager_noprep_paragraph_count,3,base,23,983689,2140577,3648,20,-1
eager_noprep_paragraph_count,3,base,24,-410772,2128186,3001,-94,0
eager_noprep_paragraph_count,3,base,25,1678554,2164643,2112,-2,1
eager_noprep_paragraph_count,4,rev0592,1,1129441,2175325,8763,-157,-1
eager_noprep_paragraph_count,4,rev0592,2,-732565,2007797,1233,-55,1
eager_noprep_paragraph_count,4,rev0592,3,827990,2359782,1053,256,0
eager_noprep_paragraph_count,4,rev0592,4,-1353661,2083353,-398,-146,0
eager_noprep_paragraph_count,4,rev0592,5,1560706,2192182,3946,-191,2
eager_noprep_paragraph_count,4,rev0592,6,4085399,2357210,1432,-180,0
eager_noprep_paragraph_count,4,rev0592,7,-861499,2053770,17205,214,0
eager_noprep_paragraph_count,4,rev0592,8,1749094,2258360,2911,85,0
eager_noprep_paragraph_count,4,rev0592,9,1811574,2140986,972,-252,-2
eager_noprep_paragraph_count,4,rev0592,10,1107432,2216212,2963,1,-1
