op,leg,reps,rep,cycles,instructions,branch_misses,dtlb_load_misses,page_faults
eager_prepared_warm_paragraph_count,rev0592,1,4,79535156,100604934,82527,75321,16599
eager_prepared_warm_paragraph_count,base,0,4,78022505,96731001,79666,75445,16600
eager_prepared_warm_paragraph_count,base,1,4,80790594,98904589,83071,75527,16599
eager_prepared_warm_paragraph_count,rev0592,0,5,80542678,98148651,80703,75390,16599
eager_prepared_warm_paragraph_count,rev0592,1,5,82603978,100443834,97926,75564,16600
eager_prepared_warm_paragraph_count,base,0,5,78554404,96737097,82769,75429,16600
eager_prepared_warm_paragraph_count,base,1,5,79659433,98810772,80123,75479,16597
eager_prepared_warm_paragraph_count,rev0592,0,6,77634385,98218789,98411,75370,16600
eager_prepared_warm_paragraph_count,rev0592,1,6,80757476,100398521,81808,75594,16600
eager_prepared_warm_paragraph_count,base,0,6,80118751,96784514,90432,75337,16597
eager_prepared_warm_paragraph_count,base,1,6,80538192,99028043,79203,75303,16601
eager_prepared_warm_paragraph_count,rev0592,0,7,80494313,98283362,82279,75221,16599
eager_prepared_warm_paragraph_count,rev0592,1,7,80958006,100403710,80302,75368,16598
eager_prepared_warm_paragraph_count,base,0,7,80788773,96865486,79055,75677,16598
eager_prepared_warm_paragraph_count,base,1,7,80375821,98897574,80192,75517,16597
eager_prepared_warm_paragraph_count,rev0592,0,8,78997535,98215119,80145,75406,16599
eager_prepared_warm_paragraph_count,rev0592,1,8,81536714,100515007,81656,75615,16599
eager_prepared_warm_paragraph_count,base,0,8,79613489,96837722,79278,75470,16598
eager_prepared_warm_paragraph_count,base,1,8,78530415,98820568,79459,75502,16599
eager_prepared_warm_paragraph_count,rev0592,0,9,79678430,98249217,79389,75502,16599
eager_prepared_warm_paragraph_count,rev0592,1,9,79003323,100374417,79794,75377,16600
eager_prepared_warm_paragraph_count,base,0,9,79463725,96772261,80585,75311,16600
eager_prepared_warm_paragraph_count,base,1,9,79450362,98807504,78650,75374,16599
eager_prepared_warm_paragraph_count,rev0592,0,10,80456695,98384307,79715,75497,16600
eager_prepared_warm_paragraph_count,rev0592,1,10,78626717,100295558,79504,75299,16598
eager_prepared_warm_paragraph_count,base,0,10,78065052,96839630,80011,75390,16600
eager_prepared_warm_paragraph_count,base,1,10,78587504,98802220,78227,75325,16599
eager_prepared_warm_paragraph_count,rev0592,0,11,79208591,98142356,83372,75223,16597
eager_prepared_warm_paragraph_count,rev0592,1,11,80036503,100413521,83880,75309,16599
eager_prepared_warm_paragraph_count,base,0,11,78425490,96796733,79042,75490,16598
eager_prepared_warm_paragraph_count,base,1,11,80323168,98822071,79802,75759,16597
eager_prepared_warm_paragraph_count,rev0592,0,12,78679805,98326172,95161,75534,16598
eager_prepared_warm_paragraph_count,rev0592,1,12,78296730,100768263,82238,75698,16599
eager_prepared_warm_paragraph_count,base,0,12,78609142,96715743,95171,75515,16598
eager_prepared_warm_paragraph_count,base,1,12,78036970,98869221,96724,75359,16598
eager_prepared_warm_paragraph_count,rev0592,0,13,77608518,98272958,81576,75490,16599
eager_prepared_warm_paragraph_count,rev0592,1,13,79533255,100519866,98478,75512,16596
eager_prepared_warm_paragraph_count,base,0,13,82750107,96736906,80693,75452,16598
eager_prepared_warm_paragraph_count,base,1,13,80246091,98843044,81697,75594,16598
eager_prepared_warm_paragraph_count,rev0592,0,14,77923532,98126981,84088,75470,16599
eager_prepared_warm_paragraph_count,rev0592,1,14,78244821,100476729,81841,75806,16599
eager_prepared_warm_paragraph_count,base,0,14,77499481,96768728,79739,75499,16599
eager_prepared_warm_paragraph_count,base,1,14,80215971,98859556,80497,75783,16598
eager_prepared_warm_paragraph_count,rev0592,0,15,83625203,98437574,79606,75482,16599
eager_prepared_warm_paragraph_count,rev0592,1,15,86316556,100403768,80903,75520,16599
eager_prepared_warm_paragraph_count,base,0,15,88034099,96895033,89085,76105,16597
eager_prepared_warm_paragraph_count,base,1,15,84031800,98877506,79798,75580,16599
eager_prepared_warm_paragraph_count,rev0592,0,16,86196784,98236917,78795,75548,16597
eager_prepared_warm_paragraph_count,rev0592,1,16,87048490,100507401,82308,75664,16600
eager_prepared_warm_paragraph_count,base,0,16,85110813,96799059,83546,75585,16599
eager_prepared_warm_paragraph_count,base,1,16,86243818,98918144,78681,75522,16599
eager_prepared_warm_paragraph_count,rev0592,0,17,87607925,98543453,80431,75836,16599
eager_prepared_warm_paragraph_count,rev0592,1,17,85179616,100389668,79954,75750,16597
eager_prepared_warm_paragraph_count,base,0,17,84442422,96871985,80257,74581,16597
eager_prepared_warm_paragraph_count,base,1,17,86659965,98944952,79377,75216,16599
eager_prepared_warm_paragraph_count,rev0592,0,18,85569444,98317440,81904,74518,16597
eager_prepared_warm_paragraph_count,rev0592,1,18,84766047,100378498,80919,75019,16600
eager_prepared_warm_paragraph_count,base,0,18,85381750,97090787,82554,74586,16598
eager_prepared_warm_paragraph_count,base,1,18,87387612,98921700,85964,75130,16599
eager_prepared_warm_paragraph_count,rev0592,0,19,92096950,99201380,82837,77267,16599
eager_prepared_warm_paragraph_count,rev0592,1,19,89332238,100459997,92199,76086,16600
eager_prepared_warm_paragraph_count,base,0,19,87395930,96901822,81381,75766,16601
eager_prepared_warm_paragraph_count,base,1,19,86161912,98947556,83937,75583,16598
eager_prepared_warm_paragraph_count,rev0592,0,20,86433068,98312148,79940,75607,16599
eager_prepared_warm_paragraph_count,rev0592,1,20,88495167,100408665,82214,75793,16598
eager_prepared_warm_paragraph_count,base,0,20,84644955,96676411,79861,75472,16598
eager_prepared_warm_paragraph_count,base,1,20,85258414,99173470,81754,75499,16599
eager_prepared_warm_paragraph_count,rev0592,0,21,84850959,98239344,80647,75616,16598
eager_prepared_warm_paragraph_count,rev0592,1,21,86510453,100483164,80076,75491,16598
eager_prepared_warm_paragraph_count,base,0,21,83130004,96753885,80315,75378,16599
eager_prepared_warm_paragraph_count,base,1,21,81175846,98827975,82406,75362,16599
eager_prepared_warm_paragraph_count,rev0592,0,22,82151802,98210023,78597,75640,16599
eager_prepared_warm_paragraph_count,rev0592,1,22,85580956,100516255,81560,75537,16599
eager_prepared_warm_paragraph_count,base,0,22,84626096,96699912,84516,75475,16598
eager_prepared_warm_paragraph_count,base,1,22,83177644,98844233,81707,75486,16599
eager_prepared_warm_paragraph_count,rev0592,0,23,86383989,98294340,84219,75550,16597
eager_prepared_warm_paragraph_count,rev0592,1,23,85195247,100356132,79096,75845,16599
eager_prepared_warm_paragraph_count,base,0,23,84338737,96745486,80549,75600,16598
eager_prepared_warm_paragraph_count,base,1,23,83734791,98905052,80512,75719,16599
eager_prepared_warm_paragraph_count,rev0592,0,24,83866652,98162154,79699,75561,16598
eager_prepared_warm_paragraph_count,rev0592,1,24,83967012,100381292,80836,75959,16599
eager_prepared_warm_paragraph_count,base,0,24,82120987,96662038,78515,76015,16598
eager_prepared_warm_paragraph_count,base,1,24,80868359,98905096,98710,75887,16598
eager_prepared_warm_paragraph_count,rev0592,0,25,81814143,98272046,83666,75407,16599
eager_prepared_warm_paragraph_count,rev0592,1,25,84119089,100395781,80346,75714,16599
eager_prepared_warm_paragraph_count,base,0,25,82107551,96660074,89073,75624,16599
eager_prepared_warm_paragraph_count,base,1,25,83085621,98821434,78657,75583,16600
eager_prepared_warm_paragraph_count,rev0592,0,26,81578709,98335668,98707,75806,16600
eager_prepared_warm_paragraph_count,rev0592,1,26,79864352,100372757,79844,75377,16598
eager_prepared_warm_paragraph_count,base,0,26,81267171,96737872,78315,75433,16599
eager_prepared_warm_paragraph_count,base,1,26,80985447,98983089,80274,75418,16597
eager_prepared_warm_paragraph_count,rev0592,0,27,82762656,98164748,80743,75695,16599
eager_prepared_warm_paragraph_count,rev0592,1,27,83933262,100291050,80654,75561,16599
eager_prepared_warm_paragraph_count,base,0,27,82925722,96759198,79294,75496,16599
eager_prepared_warm_paragraph_count,base,1,27,81615305,98867116,80488,75906,16598
eager_prepared_warm_paragraph_count,rev0592,0,28,83613736,98467213,79643,75772,16598
eager_prepared_warm_paragraph_count,rev0592,1,28,83408483,100376555,79955,75521,16599
eager_prepared_warm_paragraph_count,base,0,28,79583497,96734095,78455,75605,16597
eager_prepared_warm_paragraph_count,base,1,28,83248943,99075785,79564,75754,16600
