fixture	route	before_status	before_field1	before_field2	after_status	after_field1	after_field2	control_status	control_field1	control_field2	differs_raw	differs_normalized
test-data/libreoffice-core/sc/qa/unit/data/xlsx/activex_checkbox.xlsx	xlsx_edit_save	OK	12535	17	OK	12535	17	OK	12535	17	0	0
test-data/libreoffice-core/sc/qa/unit/data/xlsx/activex_checkbox.xlsx	xlsx_noop_save	OK	12433	17	OK	12433	17	OK	12433	17	0	0
test-data/libreoffice-core/sc/qa/unit/data/xlsx/activex_checkbox.xlsx	xlsx_source_backed_cell_values	ERR	Invalid("value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties'")	invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties'	ERR	Invalid("value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties'")	invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties'	ERR	Invalid("value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties'")	invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties'	0	0
test-data/libreoffice-core/sc/qa/unit/data/xlsx/activex_checkbox.xlsx	xlsx_source_backed_tab_state	OK	12433	17	OK	12433	17	OK	12433	17	0	0
test-data/libreoffice-core/sc/qa/unit/data/xlsx/autofilterShowButton.xlsx	xlsx_edit_save	OK	8453	10	OK	8453	10	OK	8453	10	0	0
test-data/libreoffice-core/sc/qa/unit/data/xlsx/autofilterShowButton.xlsx	xlsx_noop_save	OK	8367	10	OK	8367	10	OK	8367	10	0	0
test-data/libreoffice-core/sc/qa/unit/data/xlsx/autofilterShowButton.xlsx	xlsx_source_backed_cell_values	ERR	Invalid("value-only edits refuse package relationship 'http://schemas.openxmlformats.org/package/2006/relationships/metadata/core-properties'")	invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/package/2006/relationships/metadata/core-properties'	ERR	Invalid("value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties'")	invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties'	ERR	Invalid("value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties'")	invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties'	1	0
test-data/libreoffice-core/sc/qa/unit/data/xlsx/autofilterShowButton.xlsx	xlsx_source_backed_tab_state	OK	8367	10	OK	8367	10	OK	8367	10	0	0
test-data/libreoffice-core/sc/qa/unit/data/xlsx/dataValidity.xlsx	xlsx_edit_save	OK	11352	14	OK	11352	14	OK	11352	14	0	0
test-data/libreoffice-core/sc/qa/unit/data/xlsx/dataValidity.xlsx	xlsx_noop_save	OK	11268	14	OK	11268	14	OK	11268	14	0	0
test-data/libreoffice-core/sc/qa/unit/data/xlsx/dataValidity.xlsx	xlsx_source_backed_cell_values	ERR	Invalid("value-only edits refuse package relationship 'http://schemas.openxmlformats.org/package/2006/relationships/metadata/core-properties'")	invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/package/2006/relationships/metadata/core-properties'	ERR	Invalid("value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties'")	invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties'	ERR	Invalid("value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties'")	invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties'	1	0
test-data/libreoffice-core/sc/qa/unit/data/xlsx/dataValidity.xlsx	xlsx_source_backed_tab_state	OK	11268	14	OK	11268	14	OK	11268	14	0	0
test-data/libreoffice-core/sc/qa/unit/data/xlsx/dateAutofilter.xlsx	xlsx_edit_save	OK	8521	10	OK	8521	10	OK	8521	10	0	0
test-data/libreoffice-core/sc/qa/unit/data/xlsx/dateAutofilter.xlsx	xlsx_noop_save	OK	8435	10	OK	8435	10	OK	8435	10	0	0
test-data/libreoffice-core/sc/qa/unit/data/xlsx/dateAutofilter.xlsx	xlsx_source_backed_cell_values	ERR	Invalid("value-only edits refuse package relationship 'http://schemas.openxmlformats.org/package/2006/relationships/metadata/core-properties'")	invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/package/2006/relationships/metadata/core-properties'	ERR	Invalid("value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties'")	invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties'	ERR	Invalid("value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties'")	invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties'	1	0
test-data/libreoffice-core/sc/qa/unit/data/xlsx/dateAutofilter.xlsx	xlsx_source_backed_tab_state	OK	8435	10	OK	8435	10	OK	8435	10	0	0
test-data/libreoffice-core/sc/qa/unit/data/xlsx/enhanced-protection.xlsx	xlsx_edit_save	OK	8483	10	OK	8483	10	OK	8483	10	0	0
test-data/libreoffice-core/sc/qa/unit/data/xlsx/enhanced-protection.xlsx	xlsx_noop_save	OK	8483	10	OK	8483	10	OK	8483	10	0	0
