fixture parts total_bytes largest_bytes remainder_bytes
/home/zhuhe/code/litchi-worktrees/0662/test-data/ooxml/pptx/smartart-pyramid-1child.pptx 25 134472 20758 113714
/home/zhuhe/code/litchi-worktrees/0662/test-data/ooxml/pptx/smartart-recursion.pptx 24 176585 38656 137929
/home/zhuhe/code/litchi-worktrees/0662/test-data/ooxml/pptx/smartart-rightoleftblockdiagram.pptx 24 122473 20758 101715
/home/zhuhe/code/litchi-worktrees/0662/test-data/ooxml/pptx/smartart-rotation.pptx 24 119637 20758 98879
/home/zhuhe/code/litchi-worktrees/0662/test-data/ooxml/pptx/smartart-rotation2.pptx 26 151603 20758 130845
/home/zhuhe/code/litchi-worktrees/0662/test-data/ooxml/pptx/smartart-simple.pptx 25 165219 36869 128350
/home/zhuhe/code/litchi-worktrees/0662/test-data/ooxml/pptx/smartart-snake-rows.pptx 29 199268 38243 161025
/home/zhuhe/code/litchi-worktrees/0662/test-data/ooxml/pptx/smartart-tdf134221.pptx 25 161765 29807 131958
/home/zhuhe/code/litchi-worktrees/0662/test-data/ooxml/pptx/smartart-text.pptx 24 118521 20758 97763
/home/zhuhe/code/litchi-worktrees/0662/test-data/ooxml/pptx/smartart-vertical-block-list.pptx 24 128502 20758 107744
/home/zhuhe/code/litchi-worktrees/0662/test-data/ooxml/pptx/smartart-vertical-box-list.pptx 25 122719 20758 101961
/home/zhuhe/code/litchi-worktrees/0662/test-data/ooxml/pptx/trigger.pptx 20 77361 13162 64199
/home/zhuhe/code/litchi-worktrees/0662/test-data/ooxml/xlsx/ConditionalFormattingSamples.xlsx 59 492279 57191 435088
/home/zhuhe/code/litchi-worktrees/0662/test-data/ooxml/xlsx/CustomXMLMappings-complex-type.xlsx 13 29504 8742 20762
/home/zhuhe/code/litchi-worktrees/0662/test-data/ooxml/xlsx/CustomXMLMappings.xlsx 11 15357 7006 8351
/home/zhuhe/code/litchi-worktrees/0662/test-data/ooxml/xlsx/CustomXmlMappings-inverse-order.xlsx 11 15357 7006 8351
/home/zhuhe/code/litchi-worktrees/0662/test-data/ooxml/xlsx/DataValidationEvaluations.xlsx 10 28455 10401 18054
/home/zhuhe/code/litchi-worktrees/0662/test-data/ooxml/xlsx/DataValidationListTooLong.xlsx 6 2738 871 1867
/home/zhuhe/code/litchi-worktrees/0662/test-data/ooxml/xlsx/DateFormatNumberTests.xlsx 9 22837 7571 15266
/home/zhuhe/code/litchi-worktrees/0662/test-data/ooxml/xlsx/DateFormatTests.xlsx 9 32984 12003 20981
/home/zhuhe/code/litchi-worktrees/0662/test-data/ooxml/xlsx/ExcelPivotTableSample.xlsx 17 29635 6793 22842
/home/zhuhe/code/litchi-worktrees/0662/test-data/ooxml/xlsx/ExcelTables.xlsx 9 13237 7009 6228
/home/zhuhe/code/litchi-worktrees/0662/test-data/ooxml/xlsx/FormatChoiceTests.xlsx 9 41195 23607 17588
/home/zhuhe/code/litchi-worktrees/0662/test-data/ooxml/xlsx/FormatConditionTests.xlsx 9 53559 33810 19749
/home/zhuhe/code/litchi-worktrees/0662/test-data/ooxml/xlsx/Formatting.xlsx 9 14558 7004 7554
/home/zhuhe/code/litchi-worktrees/0662/test-data/ooxml/xlsx/HeaderFooterComplexFormats.xlsx 8 12827 7088 5739
/home/zhuhe/code/litchi-worktrees/0662/test-data/ooxml/xlsx/InlineString.xlsx 6 13745 8399 5346
/home/zhuhe/code/litchi-worktrees/0662/test-data/ooxml/xlsx/InlineStrings.xlsx 8 13770 4633 9137
/home/zhuhe/code/litchi-worktrees/0662/test-data/ooxml/xlsx/MatrixFormulaEvalTestData.xlsx 8 49705 29767 19938
/home/zhuhe/code/litchi-worktrees/0662/test-data/ooxml/xlsx/NewStyleConditionalFormattings.xlsx 8 40364 23345 17019
/home/zhuhe/code/litchi-worktrees/0662/test-data/ooxml/xlsx/NewlineInFormulas.xlsx 9 13774 7088 6686
/home/zhuhe/code/litchi-worktrees/0662/test-data/ooxml/xlsx/Pivot1_Row.xlsx 11 19584 4872 14712
/home/zhuhe/code/litchi-worktrees/0662/test-data/ooxml/xlsx/Pivot1_Row_Grand.xlsx 11 19640 4872 14768
/home/zhuhe/code/litchi-worktrees/0662/test-data/ooxml/xlsx/Pivot1_Row_Grand_Subtotals.xlsx 11 20417 4872 15545
/home/zhuhe/code/litchi-worktrees/0662/test-data/ooxml/xlsx/Pivot2_Row.xlsx 11 19027 4872 14155
/home/zhuhe/code/litchi-worktrees/0662/test-data/ooxml/xlsx/Pivot2_Row_Compact.xlsx 11 20191 5134 15057
/home/zhuhe/code/litchi-worktrees/0662/test-data/ooxml/xlsx/Pivot2_Row_Grand.xlsx 11 19144 4872 14272
/home/zhuhe/code/litchi-worktrees/0662/test-data/ooxml/xlsx/Pivot2_Row_Grand_Subtotals.xlsx 11 19569 4872 14697
/home/zhuhe/code/litchi-worktrees/0662/test-data/ooxml/xlsx/Pivot2_Row_Subtotals.xlsx 11 19451 4872 14579
/home/zhuhe/code/litchi-worktrees/0662/test-data/ooxml/xlsx/Pivot2_Row_Subtotals_SortDescendingAll.xlsx 11 19508 4872 14636
/home/zhuhe/code/litchi-worktrees/0662/test-data/ooxml/xlsx/Pivot3_Column_Grand_Subtotals.xlsx 11 19802 4872 14930
/home/zhuhe/code/litchi-worktrees/0662/test-data/ooxml/xlsx/Pivot4_Column_Grand_Subtotals_SortDescending.xlsx 11 19822 4872 14950
/home/zhuhe/code/litchi-worktrees/0662/test-data/ooxml/xlsx/SimpleMultiCell.xlsx 8 12074 7004 5070
/home/zhuhe/code/litchi-worktrees/0662/test-data/ooxml/xlsx/SimpleNormal.xlsx 9 13494 7088 6406
/home/zhuhe/code/litchi-worktrees/0662/test-data/ooxml/xlsx/SimpleScatterChart.xlsx 16 49181 9957 39224
/home/zhuhe/code/litchi-worktrees/0662/test-data/ooxml/xlsx/SimpleStrict.xlsx 9 14267 7054 7213
/home/zhuhe/code/litchi-worktrees/0662/test-data/ooxml/xlsx/SimpleWithComments.xlsx 10 13234 7004 6230
/home/zhuhe/code/litchi-worktrees/0662/test-data/ooxml/xlsx/SingleCellTable.xlsx 8 15553 8399 7154
/home/zhuhe/code/litchi-worktrees/0662/test-data/ooxml/xlsx/Sparklines.xlsx 8 30702 9395 21307
/home/zhuhe/code/litchi-worktrees/0662/test-data/ooxml/xlsx/StructuredReferences.xlsx 10 17398 8399 8999
/home/zhuhe/code/litchi-worktrees/0662/test-data/ooxml/xlsx/StructuredRefs-lots-with-lookups.xlsx 23 2680195 1558400 1121795
/home/zhuhe/code/litchi-worktrees/0662/test-data/ooxml/xlsx/Tables.xlsx 19 194643 35131 159512
/home/zhuhe/code/litchi-worktrees/0662/test-data/ooxml/xlsx/TablesWithDifferentHeaders.xlsx 12 15336 7088 8248
/home/zhuhe/code/litchi-worktrees/0662/test-data/ooxml/xlsx/TextColor.xlsx 9 13447 7088 6359
/home/zhuhe/code/litchi-worktrees/0662/test-data/ooxml/xlsx/TwoSheetsNoneHidden.xlsx 8 11456 7004 4452
/home/zhuhe/code/litchi-worktrees/0662/test-data/ooxml/xlsx/TwoSheetsOneHidden.xlsx 8 11500 7004 4496
/home/zhuhe/code/litchi-worktrees/0662/test-data/ooxml/xlsx/autofilter-colors-fg.xlsx 8 21281 8489 12792
/home/zhuhe/code/litchi-worktrees/0662/test-data/ooxml/xlsx/autofilter-colors.xlsx 8 21228 8489 12739
/home/zhuhe/code/litchi-worktrees/0662/test-data/ooxml/xlsx/autofilter.xlsx 7 17550 11651 5899
/home/zhuhe/code/litchi-worktrees/0662/test-data/ooxml/xlsx/autofilternamedrange.xlsx 8 16661 8399 8262
/home/zhuhe/code/litchi-worktrees/0662/test-data/ooxml/xlsx/cell-borders.xlsx 11 19665 7004 12661
/home/zhuhe/code/litchi-worktrees/0662/test-data/ooxml/xlsx/cell-multi-line.xlsx 7 12288 6809 5479
/home/zhuhe/code/litchi-worktrees/0662/test-data/ooxml/xlsx/chart_hyperlink.xlsx 17 69077 9677 59400
/home/zhuhe/code/litchi-worktrees/0662/test-data/ooxml/xlsx/column_style.xlsx 5 10414 6625 3789
/home/zhuhe/code/litchi-worktrees/0662/test-data/ooxml/xlsx/condFormat_cellis.xlsx 7 13188 7088 6100
/home/zhuhe/code/litchi-worktrees/0662/test-data/ooxml/xlsx/condformat_databar.xlsx 6 12614 6809 5805
/home/zhuhe/code/litchi-worktrees/0662/test-data/ooxml/xlsx/condformat_theme_color.xlsx 7 14593 6807 7786
/home/zhuhe/code/litchi-worktrees/0662/test-data/ooxml/xlsx/conditional_fmt_checkpriority.xlsx 8 17684 8399 9285
/home/zhuhe/code/litchi-worktrees/0662/test-data/ooxml/xlsx/conditional_fmt_origin.xlsx 7 15115 8399 6716
/home/zhuhe/code/litchi-worktrees/0662/test-data/ooxml/xlsx/conditional_formatting_multiple_ranges.xlsx 7 13561 6797 6764
/home/zhuhe/code/litchi-worktrees/0662/test-data/ooxml/xlsx/customxml.xlsx 11 29753 17053 12700
/home/zhuhe/code/litchi-worktrees/0662/test-data/ooxml/xlsx/decimal-format.xlsx 9 32028 20024 12004
/home/zhuhe/code/litchi-worktrees/0662/test-data/ooxml/xlsx/duplicate-defined-names.xlsx 8 103166 72396 30770
/home/zhuhe/code/litchi-worktrees/0662/test-data/ooxml/xlsx/empty.xlsx 6 10152 4611 5541
/home/zhuhe/code/litchi-worktrees/0662/test-data/ooxml/xlsx/enhanced-protection.xlsx 7 13220 6807 6413
/home/zhuhe/code/litchi-worktrees/0662/test-data/ooxml/xlsx/external-cache-multi-letter-column.xlsx 27 135614 42631 92983
