# kind fixture detail eager lazy verdict
parts libreoffice-core/sc/qa/unit/data/xlsx/shared-formula/basic.xlsx - 12 12 MATCH
opc-noop libreoffice-core/sc/qa/unit/data/xlsx/shared-formula/basic.xlsx - 7ec5305479c3ef38868406985f97f9220054ac847892d36f40511f2ceca12105:8984 7ec5305479c3ef38868406985f97f9220054ac847892d36f40511f2ceca12105:8984 MATCH
opc-reblob libreoffice-core/sc/qa/unit/data/xlsx/shared-formula/basic.xlsx - 7ec5305479c3ef38868406985f97f9220054ac847892d36f40511f2ceca12105:8984 7ec5305479c3ef38868406985f97f9220054ac847892d36f40511f2ceca12105:8984 MATCH
open libreoffice-core/sc/qa/unit/data/xlsx/shared-formula/refupdate.xlsx - ok ok MATCH
parts libreoffice-core/sc/qa/unit/data/xlsx/shared-formula/refupdate.xlsx - 9 9 MATCH
opc-noop libreoffice-core/sc/qa/unit/data/xlsx/shared-formula/refupdate.xlsx - d2fc65e90db1b8cdcdfef2dbef35f0b5ddf81a0b5238189dd995b0944dc01464:8671 d2fc65e90db1b8cdcdfef2dbef35f0b5ddf81a0b5238189dd995b0944dc01464:8671 MATCH
opc-reblob libreoffice-core/sc/qa/unit/data/xlsx/shared-formula/refupdate.xlsx - d2fc65e90db1b8cdcdfef2dbef35f0b5ddf81a0b5238189dd995b0944dc01464:8671 d2fc65e90db1b8cdcdfef2dbef35f0b5ddf81a0b5238189dd995b0944dc01464:8671 MATCH
open libreoffice-core/sc/qa/unit/data/xlsx/shared-formula/text-results.xlsx - ok ok MATCH
parts libreoffice-core/sc/qa/unit/data/xlsx/shared-formula/text-results.xlsx - 11 11 MATCH
opc-noop libreoffice-core/sc/qa/unit/data/xlsx/shared-formula/text-results.xlsx - 59bc94d6166701b7f3f947d9e054805f4b9efb40deab6308b84288627b57708f:8576 59bc94d6166701b7f3f947d9e054805f4b9efb40deab6308b84288627b57708f:8576 MATCH
opc-reblob libreoffice-core/sc/qa/unit/data/xlsx/shared-formula/text-results.xlsx - 59bc94d6166701b7f3f947d9e054805f4b9efb40deab6308b84288627b57708f:8576 59bc94d6166701b7f3f947d9e054805f4b9efb40deab6308b84288627b57708f:8576 MATCH
open libreoffice-core/sc/qa/unit/data/xlsx/sheet-tab-color.xlsx - ok ok MATCH
parts libreoffice-core/sc/qa/unit/data/xlsx/sheet-tab-color.xlsx - 11 11 MATCH
opc-noop libreoffice-core/sc/qa/unit/data/xlsx/sheet-tab-color.xlsx - 5501d6ae93866d0425aadbab74443bee6146533182b7ceb90c620ab6de55d39f:8408 5501d6ae93866d0425aadbab74443bee6146533182b7ceb90c620ab6de55d39f:8408 MATCH
opc-reblob libreoffice-core/sc/qa/unit/data/xlsx/sheet-tab-color.xlsx - 5501d6ae93866d0425aadbab74443bee6146533182b7ceb90c620ab6de55d39f:8408 5501d6ae93866d0425aadbab74443bee6146533182b7ceb90c620ab6de55d39f:8408 MATCH
open libreoffice-core/sc/qa/unit/data/xlsx/subtotal-above.xlsx - ok ok MATCH
parts libreoffice-core/sc/qa/unit/data/xlsx/subtotal-above.xlsx - 11 11 MATCH
opc-noop libreoffice-core/sc/qa/unit/data/xlsx/subtotal-above.xlsx - 115274cee60bf5f660601790a342382383cba164d2dc62b6e88b03c1d77b4c0d:10111 115274cee60bf5f660601790a342382383cba164d2dc62b6e88b03c1d77b4c0d:10111 MATCH
opc-reblob libreoffice-core/sc/qa/unit/data/xlsx/subtotal-above.xlsx - 115274cee60bf5f660601790a342382383cba164d2dc62b6e88b03c1d77b4c0d:10111 115274cee60bf5f660601790a342382383cba164d2dc62b6e88b03c1d77b4c0d:10111 MATCH
open libreoffice-core/sc/qa/unit/data/xlsx/tdf100034.xlsx - ok ok MATCH
parts libreoffice-core/sc/qa/unit/data/xlsx/tdf100034.xlsx - 10 10 MATCH
opc-noop libreoffice-core/sc/qa/unit/data/xlsx/tdf100034.xlsx - 8efb54cb804b713ff5c2d8af2f730f1583b3fa06ea932a3f853a8385d806ea78:18756 8efb54cb804b713ff5c2d8af2f730f1583b3fa06ea932a3f853a8385d806ea78:18756 MATCH
opc-reblob libreoffice-core/sc/qa/unit/data/xlsx/tdf100034.xlsx - 8efb54cb804b713ff5c2d8af2f730f1583b3fa06ea932a3f853a8385d806ea78:18756 8efb54cb804b713ff5c2d8af2f730f1583b3fa06ea932a3f853a8385d806ea78:18756 MATCH
open libreoffice-core/sc/qa/unit/data/xlsx/tdf105840_allRowsHidden.xlsx - ok ok MATCH
parts libreoffice-core/sc/qa/unit/data/xlsx/tdf105840_allRowsHidden.xlsx - 8 8 MATCH
opc-noop libreoffice-core/sc/qa/unit/data/xlsx/tdf105840_allRowsHidden.xlsx - a505455dbb26c09db9e531d8753db06e55a1741247bae6be5a37b4e86582e10d:7015 a505455dbb26c09db9e531d8753db06e55a1741247bae6be5a37b4e86582e10d:7015 MATCH
opc-reblob libreoffice-core/sc/qa/unit/data/xlsx/tdf105840_allRowsHidden.xlsx - a505455dbb26c09db9e531d8753db06e55a1741247bae6be5a37b4e86582e10d:7015 a505455dbb26c09db9e531d8753db06e55a1741247bae6be5a37b4e86582e10d:7015 MATCH
open libreoffice-core/sc/qa/unit/data/xlsx/tdf111980_radioButtons.xlsx - ok ok MATCH
parts libreoffice-core/sc/qa/unit/data/xlsx/tdf111980_radioButtons.xlsx - 24 24 MATCH
opc-noop libreoffice-core/sc/qa/unit/data/xlsx/tdf111980_radioButtons.xlsx - 78067fa92760a582e9674148029bfd2d9088cb964d2042fbdde2e5037bc30d00:20005 78067fa92760a582e9674148029bfd2d9088cb964d2042fbdde2e5037bc30d00:20005 MATCH
