# fixture operation parts inflated_bytes parts_inflated bytes_inflated outcome
ooxml/xlsx/StructuredRefs-lots-with-lookups.xlsx opc-reblob 25 2684014 1 1200 published:325446
ooxml/xlsx/Tables.xlsx opc-reblob 31 215074 1 1517 published:54387
ooxml/xlsx/TablesWithDifferentHeaders.xlsx opc-reblob 12 15228 1 841 published:11359
ooxml/xlsx/TextColor.xlsx opc-reblob 10 13587 1 839 published:9531
ooxml/xlsx/TwoSheetsNoneHidden.xlsx opc-reblob 8 11384 1 818 published:7938
ooxml/xlsx/TwoSheetsOneHidden.xlsx opc-reblob 8 11428 1 818 published:7962
ooxml/xlsx/autofilter-colors-fg.xlsx opc-reblob 9 26629 1 795 published:10750
ooxml/xlsx/autofilter-colors.xlsx opc-reblob 9 26576 1 795 published:10708
ooxml/xlsx/autofilter.xlsx opc-reblob 7 17480 1 418 published:6299
ooxml/xlsx/autofilternamedrange.xlsx opc-reblob 8 16589 1 811 published:9685
ooxml/xlsx/cell-borders.xlsx opc-reblob 13 28227 1 840 published:20972
ooxml/xlsx/cell-multi-line.xlsx opc-reblob 8 20417 1 791 published:9144
ooxml/xlsx/chart_hyperlink.xlsx opc-reblob 17 68912 1 812 published:21564
ooxml/xlsx/column_style.xlsx opc-reblob 5 10364 1 418 published:4646
ooxml/xlsx/condFormat_cellis.xlsx opc-reblob 8 18545 1 793 published:9347
ooxml/xlsx/condformat_databar.xlsx opc-reblob 6 12560 1 791 published:8052
ooxml/xlsx/condformat_theme_color.xlsx opc-reblob 7 14530 1 817 published:8937
ooxml/xlsx/conditional_fmt_checkpriority.xlsx opc-reblob 9 23032 1 812 published:10682
ooxml/xlsx/conditional_fmt_origin.xlsx opc-reblob 8 20472 1 785 published:9705
ooxml/xlsx/conditional_formatting_multiple_ranges.xlsx opc-reblob 8 18319 1 785 published:9487
ooxml/xlsx/customxml.xlsx opc-reblob 13 40009 1 185 published:13282
ooxml/xlsx/decimal-format.xlsx opc-reblob 9 31947 1 623 published:9677
ooxml/xlsx/duplicate-defined-names.xlsx opc-reblob 8 103087 1 404 published:18756
ooxml/xlsx/empty.xlsx opc-reblob 6 10155 1 418 published:5221
ooxml/xlsx/enhanced-protection.xlsx opc-reblob 7 13157 1 785 published:8483
ooxml/xlsx/external-cache-multi-letter-column.xlsx opc-reblob 28 143358 1 6456 published:44267
ooxml/xlsx/external-link-path-missing.xlsx opc-reblob 12 34945 1 785 published:15018
ooxml/xlsx/external-link-path-startup.xlsx opc-reblob 9 23910 1 759 published:11076
ooxml/xlsx/fontSize.xlsx opc-reblob 10 14184 1 839 published:9883
ooxml/xlsx/formats.xlsx opc-reblob 9 32724 1 313 published:9295
ooxml/xlsx/headerFooterTest.xlsx opc-reblob 8 31794 1 807 published:27484
ooxml/xlsx/hyperlink.xlsx opc-reblob 8 14025 1 812 published:9833
ooxml/xlsx/hyperlink_export.xlsx opc-reblob 7 15113 1 785 published:9100
ooxml/xlsx/hyperlink_formula.xlsx opc-reblob 8 15476 1 785 published:9472
ooxml/xlsx/hyperlinks.xlsx opc-reblob 9 13040 1 794 published:9068
ooxml/xlsx/named-ranges-global.xlsx opc-reblob 6 13071 1 375 published:5664
ooxml/xlsx/named-ranges-hidden.xlsx opc-reblob 7 15646 1 925 published:8959
ooxml/xlsx/noSharedStringTable.xlsx opc-reblob 6 11922 1 803 published:7820
ooxml/xlsx/sample.xlsx opc-reblob 13 23094 1 842 published:12348
ooxml/xlsx/shared-strings-malformed-count.xlsx opc-reblob 6 9710 1 410 published:6266
ooxml/xlsx/shared_formulas.xlsx opc-reblob 9 22061 1 796 published:10137
ooxml/xlsx/sharedhyperlink.xlsx opc-reblob 7 13891 1 791 published:9080
ooxml/xlsx/sheet-names.xlsx opc-reblob 10 13749 1 884 published:9425
ooxml/xlsx/sheet-state-show.xlsx opc-reblob 8 165918 1 813 published:26753
ooxml/xlsx/sheet-tab-color.xlsx opc-reblob 9 12012 1 841 published:8408
ooxml/xlsx/sheetProtection_allLocked.xlsx opc-reblob 8 11361 1 828 published:7871
ooxml/xlsx/sheetProtection_not_protected.xlsx opc-reblob 8 32868 1 806 published:28728
